15:26:45  INFO      Run directory : logs/20260323_152645_github.com
15:26:52  DEBUG       [el_41] <a> selector='[data-ai-id="el_41"]'  text='Read customer story'
15:26:52  DEBUG       [el_42] <button> selector='[data-ai-id="el_42"]'  text='Automate your path to production'
15:26:52  DEBUG       [el_43] <button> selector='[data-ai-id="el_43"]'  text='Code instantly from anywhere'
15:26:52  DEBUG       [el_44] <button> selector='[data-ai-id="el_44"]'  text='Keep momentum on the go'
15:26:52  DEBUG       [el_45] <a> selector='[data-ai-id="el_45"]'  text='Explore GitHub Mobile'
15:26:52  DEBUG       [el_46] <button> selector='[data-ai-id="el_46"]'  text='Shape your toolchain'
15:26:52  DEBUG       [el_47] <a> selector='[data-ai-id="el_47"]'  text='Explore GitHub Marketplace'
15:26:52  DEBUG       [el_48] <a> selector='[data-ai-id="el_48"]'  text='Explore GitHub Advanced Security'
15:26:52  DEBUG       [el_49] <a> selector='[data-ai-id="el_49"]'  text='1'
15:26:52  DEBUG       [el_50] <a> selector='[data-ai-id="el_50"]'  text='1'
15:26:52  DEBUG       [el_51] <button> selector='[data-ai-id="el_51"]'  text='Keep track of your tasks'
15:26:52  DEBUG       [el_52] <button> selector='[data-ai-id="el_52"]'  text='Share ideas and ask questions'
15:26:52  DEBUG       [el_53] <button> selector='[data-ai-id="el_53"]'  text='Review code changes together'
15:26:52  DEBUG       [el_54] <button> selector='[data-ai-id="el_54"]'  text='Fund open source projects'
15:26:52  DEBUG       [el_55] <a> selector='[data-ai-id="el_55"]'  text='Explore GitHub Sponsors'
15:26:52  DEBUG       [el_56] <button> selector='[data-ai-id="el_56"]'  text='By industry'
15:26:52  DEBUG       [el_57] <button> selector='[data-ai-id="el_57"]'  text='By size'
15:26:52  DEBUG       [el_58] <button> selector='[data-ai-id="el_58"]'  text='By use case'
15:26:52  DEBUG       [el_59] <button> selector='[data-ai-id="el_59"]'  text='By industry'
15:26:52  DEBUG       [el_60] <a> selector='[data-ai-id="el_60"]'  text='View all solutions'
15:26:52  DEBUG       [el_61] <input> selector='[data-ai-id="el_61"]'  text='you@domain.com'
15:26:52  DEBUG       [el_62] <button> selector='[data-ai-id="el_62"]'  text='Sign up for GitHub'
15:26:52  DEBUG       [el_63] <a> selector='[data-ai-id="el_63"]'  text=''
15:26:52  DEBUG       [el_64] <a> selector='[data-ai-id="el_64"]'  text=''
15:26:52  DEBUG       [el_65] <a> selector='[data-ai-id="el_65"]'  text=''
15:26:52  DEBUG       [el_66] <a> selector='[data-ai-id="el_66"]'  text='Enterprise'
15:26:52  DEBUG       [el_67] <a> selector='[data-ai-id="el_67"]'  text='Pricing'
15:26:52  DEBUG       [el_68] <a> selector='[data-ai-id="el_68"]'  text='Team'
15:26:52  DEBUG       [el_69] <a> selector='[data-ai-id="el_69"]'  text='Compare GitHub'
15:26:52  DEBUG       [el_70] <a> selector='[data-ai-id="el_70"]'  text='The ReadME Project'
15:26:52  DEBUG       [el_71] <a> selector='[data-ai-id="el_71"]'  text='Newsroom'
15:26:52  DEBUG       [el_72] <a> selector='[data-ai-id="el_72"]'  text='Inclusion'
15:26:52  DEBUG       [el_73] <a> selector='[data-ai-id="el_73"]'  text='Sitemap'
15:26:52  DEBUG       [el_74] <a> selector='[data-ai-id="el_74"]'  text='What is Git?'
15:26:52  DEBUG       [el_75] <button> selector='[data-ai-id="el_75"]'  text='Manage cookies'
15:26:52  DEBUG       [el_76] <button> selector='[data-ai-id="el_76"]'  text='Do not share my personal information'
15:26:52  DEBUG       [el_77] <button> selector='[data-ai-id="el_77"]'  text='English'
15:26:52  DEBUG       [el_78] <a> selector='[data-ai-id="el_78"]'  text='English'
15:26:52  DEBUG       [el_79] <a> selector='[data-ai-id="el_79"]'  text='Português (Brasil)'
15:26:52  DEBUG       [el_80] <a> selector='[data-ai-id="el_80"]'  text='Español (América Latina)'
15:26:52  DEBUG       [el_81] <a> selector='[data-ai-id="el_81"]'  text='日本語'
15:26:52  DEBUG       [el_82] <a> selector='[data-ai-id="el_82"]'  text='한국어'
15:26:52  DEBUG       [el_83] <button> selector='[data-ai-id="el_83"]'  text=''
15:26:52  INFO      Elements saved : logs/20260323_152645_github.com/elements.json
15:26:57  INFO      Screenshot saved: logs/20260323_152645_github.com/state_1.png
15:26:57  INFO      Done.
